
序号	改动类型	涉及模块	改动内容
1	核心修改	忆境体系的建立	忆境材质加入“所有至强”，删除“众生执念”
2	调整	忆境体系的建立	三重作用中删除“众生记忆”，调整为“至强大道残痕”
3	新增	忆境体系之后（新增小节）	接入随机性与修为说明
4	重写	遗藏品级（新增小节）	五品按至强成长阶段定义
5	补充	至强的沉眠状态	至强被压制的力量来源补充“历代至强道韵叠加”
6	新增	末法纪元之后	纪元时间线整理（上古/万道/黄金/断道/末法）
7	补充	域外战略	屏障强度的说明补充一句话
8	新增	众生执念	补充一句说明执念不存储于忆境
9	删除	遗藏品级旧定义	移除旧五品中所有关于“众生记忆”的描述
10	统一	遗藏来源	明确每处遗藏必须由历代合道者道韵锚定，群体与时代内容仅能作为至强亲历内容出现
11	修正	纪元时间线	统一历代至强与黄金十位至强口径，修正时间尺度、上古残境及纪元关系
12	补足	发现随机性	未知坐标随机发现，已记录坐标可定向重复接入
13	补足	遗蜕争夺	将存在时间明确为争夺窗口，增加定锚、交付与逾期回收规则
14	同步	规范与模板	同步写作规范、设计模板及冲突裁定
15	重构	前期地图	新增三张连续大地图，统一随机搜索点、区域物品池、承载取舍与动态撤离规则
16	补足	前期情节	明确前三图的可变接入次数、重点场次、资源成长、阶段爽点与稳定化后的重复探索规则
17	新增	前三图遗蜕	补定藏谷铜斗、雾路驿铃、吞火炉钳的能力、代价、争夺与归属
18	调整	前期资源	地图主产改为对应炼气、筑基境界的灵物，并修正灵物化实后退化为凡物的问题
19	修正	遗蜕定义	遗蜕载体扩展为任意事物，妙用由来源法则、载体性质、圆满时的法则融合强度与最终恢复路径共同决定
20	整合	遗蜕总表	集中登记所有具名遗蜕，建立唯一编号、唯一权威来源与防遗漏检查流程
21	修正	遗蜕诞生	遗蜕改为对应忆境首次圆满时，由汇聚法则落到最终载体后诞生；圆满前只有候选载体，不存在旧遗蜕
