item_id,item_code,item_name,name_en,item_type,item_sub_type,quality,level,rarity,stack_limit,bag_size,weight,can_buy,buy_price,can_sell,sell_price,can_search_get,can_monster_drop,safe_box_allowed,is_consumable,is_battle_consumption,is_search_loot,durability_max,use_time,use_cd,target_type,effect_type,effect_value,loot_value,combat_power_score,source_desc,desc,sort_order,is_enable
1001,helmet_lv1_common,1级旧头盔,level_1_old_helmet,1,101,2,1,1,1,2,2,1,280,1,110,0,0,1,0,0,0,20,0,0,0,0,"{}",8,12,商店,基础头盔适合新手开局,1,1
1002,armor_lv1_common,1级旧护甲,level_1_old_armor,1,102,2,1,1,1,3,3,1,450,1,180,0,0,1,0,0,0,35,0,0,0,0,"{}",10,18,商店,基础护甲提供稳定防御,2,1
1003,backpack_lv1_common,1级帆布背包,level_1_canvas_backpack,1,103,2,1,1,1,2,2,1,360,1,140,0,0,1,0,0,0,0,0,0,0,0,"{""bag_capacity"":8}",12,10,商店,基础背包可提供8格容量,3,1
1101,dagger_lv1_common,制式匕首,standard_dagger,1,104,2,1,1,1,1,1,1,220,1,90,0,0,0,0,0,0,35,0,0,0,0,"{""atk_min"":8,""atk_max"":12}",10,16,商店,占格小适合轻装探索,10,1
1102,pistol_lv1_common,制式手枪,standard_pistol,1,105,3,1,2,1,2,2,1,580,1,230,0,0,0,0,0,0,55,0,0,0,0,"{""atk_min"":15,""atk_max"":20}",16,28,商店,前期主力武器输出稳定,11,1
1103,rifle_lv2_uncommon,轻型步枪,light_rifle,1,106,4,2,3,1,3,3,1,1180,1,470,0,0,0,0,0,0,90,0,0,0,0,"{""atk_min"":25,""atk_max"":30}",22,45,商店,中期常用武器伤害与耐久平衡,12,1
1104,heavy_lv3_rare,重型破阵枪,heavy_breaker_gun,1,107,5,3,4,1,4,4,1,2200,1,880,0,0,0,0,0,0,110,0,0,0,0,"{""atk_min"":40,""atk_max"":50}",30,70,商店,高占格高伤害武器适合强攻路线,13,1
2001,basic_bandage,简易止血包,basic_bandage,2,201,2,1,1,5,1,1,1,70,1,30,1,0,1,1,1,0,0,3,5,1,1,"{""heal_hp"":35}",14,8,商店/医疗箱/低级宝箱,恢复少量生命值的基础医疗品,100,1
2002,emergency_injector,应急针剂,emergency_injector,2,201,3,2,2,3,1,1,1,160,1,70,1,0,1,1,1,0,0,1,8,1,1,"{""heal_hp"":60}",24,15,商店/医疗箱/中级宝箱,使用快速适合战斗中抢救状态,101,1
2003,combat_med_kit,战地医疗包,combat_med_kit,2,201,4,3,3,2,2,2,1,320,1,140,1,0,1,1,1,0,0,4,12,1,1,"{""heal_hp"":95}",40,22,商店/高级医疗箱,回复量更高但使用时间更长,102,1
2011,armor_patch,护甲修补片,armor_patch,2,202,2,1,1,4,1,1,1,90,1,38,1,0,1,1,1,0,0,4,10,1,2,"{""repair_armor"":12}",18,10,商店/工具箱,修复护甲受损状态,110,1
